point_id,latitude,longitude,ndvi_30to45,ndvi_60to90,ndvi_trend,ndvi_anomaly
246,,,0.5771000000000001,0.66225,0.08514999999999995,0.27710000000000007
247,,,0.5701,0.58165,0.01154999999999995,0.27010000000000006
248,,,0.522,0.4177,-0.1043,0.22200000000000003
249,,,0.5890500000000001,0.5655,-0.02355000000000007,0.2890500000000001
250,,,0.59865,0.3916,-0.20705,0.29865
251,,,0.5897,0.53585,-0.05384999999999995,0.2897
252,,,0.49355000000000004,0.48275,-0.010800000000000032,0.19355000000000006
253,,,0.5702,0.5974,0.027200000000000002,0.27020000000000005
254,,,0.6177,0.5792,-0.03849999999999998,0.31770000000000004
255,,,0.62505,0.5863,-0.03874999999999995,0.32505
256,,,0.49260000000000004,0.4713,-0.02130000000000004,0.19260000000000005
257,,,0.55455,0.45805,-0.09649999999999997,0.25455
258,,,0.50385,0.44035,-0.0635,0.20385000000000003
259,,,0.44035,0.5095000000000001,0.06915000000000004,0.14035000000000003
260,,,0.40505,0.41595000000000004,0.01090000000000002,0.10505000000000003
261,,,0.5714,0.4405,-0.13090000000000002,0.27140000000000003
262,,,0.44665000000000005,0.5258,0.07915,0.14665000000000006
263,,,0.6285000000000001,0.6326,0.0040999999999999925,0.32850000000000007
264,,,0.5592,0.5205500000000001,-0.03864999999999996,0.25920000000000004
265,,,0.36695,0.5823,0.21535000000000004,0.06695000000000001
266,,,0.46180000000000004,0.56465,0.10284999999999994,0.16180000000000005
267,,,0.4055,0.80145,0.39594999999999997,0.10550000000000004
268,,,0.4217,0.7453500000000001,0.32365000000000005,0.12170000000000003
269,,,0.7411,0.7010500000000001,-0.04004999999999992,0.4411
270,,,0.777,0.5755,-0.2015,0.47700000000000004
271,,,0.71035,0.62575,-0.08460000000000001,0.41035000000000005
272,,,0.47185000000000005,0.60465,0.13279999999999997,0.17185000000000006
273,,,0.59655,0.7383000000000001,0.14175000000000004,0.29655000000000004
274,,,0.6443,0.70125,0.056950000000000056,0.3443
275,,,0.55415,0.51415,-0.040000000000000036,0.25415000000000004
276,,,0.659,0.7048,0.04579999999999995,0.35900000000000004
277,,,0.5913,0.5833,-0.008000000000000007,0.29130000000000006
278,,,0.6176,0.6456500000000001,0.02805000000000002,0.31760000000000005
279,,,0.5566,0.46325,-0.09334999999999999,0.2566
280,,,0.59785,0.54295,-0.05489999999999995,0.29785
281,,,0.53195,0.49360000000000004,-0.038349999999999995,0.23195000000000005
282,,,0.5872,0.61485,0.027649999999999952,0.28720000000000007
283,,,0.547,0.6509,0.10389999999999999,0.24700000000000005
284,,,0.47555000000000003,0.5799000000000001,0.10435000000000005,0.17555000000000004
285,,,0.46775,0.6035,0.13575000000000004,0.16775
286,,,0.5329,0.4873,-0.04560000000000003,0.23290000000000005
287,,,0.41490000000000005,0.57785,0.16294999999999993,0.11490000000000006
288,,,0.5283,0.6241,0.0958,0.2283
289,,,0.5585,0.46835000000000004,-0.09014999999999995,0.2585
290,,,0.5169,0.43510000000000004,-0.08179999999999998,0.21690000000000004
291,,,0.4823,0.47940000000000005,-0.002899999999999958,0.18230000000000002
292,,,0.53015,0.32845,-0.2017,0.23015000000000002
293,,,0.56375,0.41985,-0.14389999999999997,0.26375
294,,,0.61895,0.4586,-0.16035,0.31895
295,,,0.52245,0.35050000000000003,-0.17194999999999994,0.22244999999999998
296,,,0.6595500000000001,0.5162,-0.1433500000000001,0.3595500000000001
297,,,0.5989,0.36410000000000003,-0.23479999999999995,0.2989
298,,,0.6899500000000001,0.5448500000000001,-0.1451,0.3899500000000001
299,,,0.631,0.2492,-0.38180000000000003,0.331
300,,,0.5345,0.22665000000000002,-0.30784999999999996,0.2345
301,,,0.7059000000000001,0.5728500000000001,-0.13305,0.4059000000000001
302,,,0.658,0.57825,-0.07974999999999999,0.35800000000000004
303,,,0.6862,0.47865,-0.20755,0.38620000000000004
304,,,0.7290500000000001,0.5990500000000001,-0.13,0.4290500000000001
305,,,0.7115,0.5789000000000001,-0.13259999999999994,0.41150000000000003
306,,,0.72535,0.6159,-0.10945000000000005,0.42535000000000006
307,,,0.6446000000000001,0.5892000000000001,-0.055400000000000005,0.3446000000000001
308,,,0.69225,0.54105,-0.1512,0.39225000000000004
309,,,0.6488,0.46900000000000003,-0.17980000000000002,0.34880000000000005
310,,,0.5579000000000001,0.3279,-0.23000000000000004,0.2579000000000001
311,,,0.6343500000000001,0.24665,-0.38770000000000004,0.3343500000000001
312,,,0.63365,0.2741,-0.35955000000000004,0.33365000000000006
313,,,0.6617000000000001,0.29355000000000003,-0.36815000000000003,0.3617000000000001
314,,,0.7323500000000001,0.33465,-0.39770000000000005,0.43235000000000007
315,,,0.69965,0.29485,-0.4048,0.39965
316,,,0.7358,0.35345000000000004,-0.38234999999999997,0.4358
317,,,0.7313000000000001,0.35250000000000004,-0.3788,0.43130000000000007
318,,,0.6174000000000001,0.37465000000000004,-0.24275000000000002,0.31740000000000007
319,,,0.601,0.3274,-0.27359999999999995,0.301
320,,,0.6092000000000001,0.28595000000000004,-0.32325000000000004,0.3092000000000001
321,,,0.66695,0.2611,-0.40585000000000004,0.36695000000000005
322,,,0.6482,0.31365000000000004,-0.33454999999999996,0.3482
323,,,0.7120500000000001,0.34385,-0.3682000000000001,0.4120500000000001
324,,,0.49355000000000004,0.40740000000000004,-0.08615,0.19355000000000006
325,,,0.3403,0.2806,-0.059699999999999975,0.0403
326,,,0.53105,0.393,-0.13805,0.23105000000000003
327,,,0.52095,0.37945,-0.14150000000000001,0.22095000000000004
328,,,0.6032000000000001,0.3831,-0.22010000000000007,0.3032000000000001
329,,,0.50005,0.44295,-0.057099999999999984,0.20005
330,,,0.49795,0.61185,0.1139,0.19795000000000001
331,,,0.45740000000000003,0.45680000000000004,-5.999999999999894E-4,0.15740000000000004
332,,,0.5839,0.63265,0.04875000000000007,0.2839
333,,,0.56425,0.63525,0.07099999999999995,0.26425000000000004
334,,,0.4032,0.4949,0.0917,0.10320000000000001
335,,,0.5182,0.48015,-0.03804999999999997,0.2182
336,,,0.45645,0.4529,-0.0035499999999999976,0.15645000000000003
337,,,0.2543,0.22515000000000002,-0.02915000000000001,-0.04569999999999996
338,,,0.3224,0.33405,0.011649999999999994,0.02240000000000003
339,,,0.5446,0.36745,-0.17714999999999997,0.24459999999999998
340,,,0.50585,0.31495,-0.19090000000000001,0.20585000000000003
341,,,0.7173,0.786,0.06869999999999998,0.41730000000000006
342,,,0.44685,0.6067,0.15985,0.14685000000000004
343,,,0.58155,0.6643,0.08274999999999999,0.28155
344,,,0.5800000000000001,0.6698500000000001,0.08984999999999999,0.2800000000000001
345,,,0.6521,0.7282000000000001,0.07610000000000006,0.3521
346,,,0.5963,0.44355,-0.15275000000000005,0.29630000000000006
347,,,0.5868,0.73075,0.14395000000000002,0.2868
348,,,0.59735,0.71955,0.12219999999999998,0.29735000000000006
349,,,0.5728,0.73385,0.16105000000000003,0.2728
350,,,0.66605,0.72595,0.05989999999999995,0.36605000000000004
